lu_code	description	Count	Percent	UnitConversion	height_meters	mean_plant_height	kcb_ini	kcb_mid	kcb_end	kcb_min	first_day_of_growing_season	last_day_of_growing_season	planting_date	l_ini	l_dev	l_mid	l_late	l_fallow	irrigation_length	na	rew_1	rew_2	rew_3	rew_4	rew_5	rew_6	rew_7	tew_1	tew_2	tew_3	tew_4	tew_5	tew_6	tew_7	depletion_fraction	gdd_base	gdd_max	mad	irrigation_start	irrigation_end	application_amount	fraction_irrigation_from_gw	application_scheme	irrigation_application_efficiency
1	Corn	131920551	31.65	3.2808	2	6.5616	0.15	1.15	0.5	0.15	30-May	2-Oct	150	20	35	40	30	1	125	DOY	0.1947	0.36795	0.4983	0.58465	0.1947	0.36795	0.4983	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.55	50	130	0.55	150	276	0.5	1	constant	1
2	Cotton	24198	0.01	3.2808	1.3	4.26504	0.15	1.1	0.5	0.15	1-May	12-Nov	121	30	50	60	55	1	195	DOY	0.2301	0.43485	0.5889	0.69095	0.2301	0.43485	0.5889	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.65	50	130	0.65	121	317	0	1	none	1
3	Rice	32587	0.01	3.2808	1	3.2808	1	1.15	0.6	0.4	15-May	12-Oct	135	30	30	60	30	1	150	DOY	0.0708	0.1338	0.1812	0.2126	0.0708	0.1338	0.1812	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.2	50	130	0.2	135	286	0	1	none	1
4	Sorghum	1399	0	3.2808	1.5	4.9212	0.15	1	0.35	0.15	25-May	27-Sep	145	20	35	40	30	1	125	DOY	0.1947	0.36795	0.4983	0.58465	0.1947	0.36795	0.4983	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.55	50	130	0.55	145	271	0	1	none	1
5	Soybeans	40678351	9.76	3.2808	0.75	2.4606	0.15	1.1	0.3	0.15	15-Apr	28-Aug	105	20	30	60	25	1	135	DOY	0.177	0.3345	0.453	0.5315	0.177	0.3345	0.453	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.5	50	130	0.5	105	241	0.5	1	constant	1
10	Peanuts	165	0	3.2808	0.4	1.31232	0.15	1.1	0.5	0.15	15-May	2-Oct	135	35	35	35	35	1	140	DOY	0.177	0.3345	0.453	0.5315	0.177	0.3345	0.453	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.5	50	130	0.5	135	276	0.5	1	constant	1
11	Tobacco	4853	0	3.2808	2	6.5616	0.5	1.1	0.8	0.4	1-Jun	19-Sep	152	20	30	30	30	1	110	DOY	0.1416	0.2676	0.3624	0.4252	0.1416	0.2676	0.3624	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.4	50	130	0.4	152	263	0.5	1	constant	1
12	Sweet Corn	18778	0	3.2808	1.5	4.9212	0.15	1.1	1	0.15	30-May	7-Sep	150	30	30	30	10	1	100	DOY	0.177	0.3345	0.453	0.5315	0.177	0.3345	0.453	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.5	50	130	0.5	150	251	0.5	1	constant	1
13	Pop or Orn Corn	215793	0.05	3.2808	2	6.5616	0.15	1.15	0.5	0.15	30-May	2-Oct	150	20	35	40	30	1	125	DOY	0.1947	0.36795	0.4983	0.58465	0.1947	0.36795	0.4983	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.55	50	130	0.55	150	276	0.5	1	constant	1
14	Mint	1815	0	3.2808		1	0.15	0.9	0.85	0.15	15-Apr	24-Jun	105	20	20	20	10	1	70	DOY	0.0885	0.16725	0.2265	0.26575	0.0885	0.16725	0.2265	0.354	0.669	0.906	1.063	0.354	0.669	0.906	0.25	50	130	0.25	105	176	0.5	1	constant	1
