lu_code	description	mean_plant_height	kcb_ini	kcb_mid	kcb_end	kcb_min	first_day_of_growing_season	last_day_of_growing_season	planting_date	l_ini	l_dev	l_mid	l_late	l_fallow	irrigation_length	na	rew_1	rew_2	rew_3	rew_4	rew_5	rew_6	rew_7	tew_1	tew_2	tew_3	tew_4	tew_5	tew_6	tew_7	depletion_fraction	gdd_base	gdd_max	mad	irrigation_start	irrigation_end	application_amount	fraction_irrigation_from_gw	application_scheme	irrigation_application_efficiency	variable_rooting_depth
1	Corn	6.23399999999999999	0.11600000000000001	0.72499999999999998	0.13900000000000001	0.12600000000000000	              141.0	              284.0	              156.0	             17.154	             30.377	             30.377	             30.377	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               50.0	               86.0	               0.55	              141.0	              284.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
4	Sorghum	6.23399999999999999	0.15800000000000000	1.02400000000000002	0.36799999999999999	0.15800000000000000	              162.0	              294.0	              162.0	             23.113	             35.953	             41.089	             30.817	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               50.0	               86.0	               0.55	              162.0	              294.0	                0.0	                1.0	none               	                1.0	variable           	
5	Soybeans	3.11699999999999999	0.15800000000000000	0.67500000000000004	0.34699999999999998	0.15800000000000000	              120.0	              304.0	              120.0	             31.603	             38.626	             77.252	             35.115	                1.0	              999.0	DOY                	0.25600000000000001	0.40400000000000003	0.47199999999999998	0.50200000000000000	0.25600000000000001	0.40400000000000003	0.47199999999999998	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	                0.5	               50.0	               86.0	                0.5	              120.0	              304.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
13	PopOrn Corn	6.23399999999999999	0.11600000000000001	0.76100000000000001	0.12600000000000000	0.12600000000000000	              126.0	              299.0	              126.0	             30.174	             50.794	             48.279	             42.747	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               50.0	               86.0	               0.55	              141.0	              284.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
23	Spring Wheat	3.11699999999999999	0.15800000000000000	1.11299999999999999	0.15800000000000000	0.15800000000000000	              150.0	              240.0	              130.0	             33.525	             34.483	             22.031	              9.579	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               32.0	               78.8	               0.55	              259.0	              192.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
24	Winter Wheat	3.11699999999999999	0.15800000000000000	1.11299999999999999	0.15800000000000000	0.15800000000000000	              259.0	              192.0	              250.0	             102.92	             105.86	             67.634	             29.406	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               32.0	               78.8	               0.55	              259.0	              192.0	                0.0	                1.0	none               	                1.0	variable           	
27	Rye	0.93500000000000005	0.83999999999999997	1.08200000000000007	1.05000000000000004	0.83999999999999997	              259.0	              244.0	              259.0	              1.571	              6.479	              4.516	              2.356	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               40.0	               80.0	               0.55	              259.0	              244.0	                0.0	                1.0	none               	                1.0	variable           	
28	Oats	3.11699999999999999	0.15800000000000000	1.11299999999999999	0.15800000000000000	0.15800000000000000	              129.0	              223.0	              129.0	             16.309	             25.205	             34.101	             17.792	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               40.0	               80.0	               0.55	              129.0	              223.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
36	Alfalfa	2.18199999999999994	0.31500000000000000	0.96099999999999997	0.92900000000000005	0.31500000000000000	              106.0	              228.0	              125.0	             10.778	             21.557	             24.251	             32.335	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               42.0	               80.0	               0.55	              106.0	              228.0	                0.0	                1.0	field_capacity     	                1.0	constant           	
37	Other Hay/Non Alfalfa	1.87000000000000011	0.40400000000000003	1.06000000000000005	0.97699999999999998	0.40400000000000003	              106.0	              228.0	              125.0	             12.363	             24.725	             22.253	              29.67	                1.0	              999.0	DOY                	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.55200000000000005	0.28100000000000003	0.44400000000000001	0.52000000000000002	0.51200000000000001	0.80700000000000005	0.94499999999999995	1.00400000000000000	0.51200000000000001	0.80700000000000005	0.94499999999999995	               0.55	               40.0	               80.0	               0.55	              106.0	              228.0	                0.0	                1.0	field_capacity     	                1.0	variable           	
