lu_code	description	Count	Percent	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception	nongrowing_season_interception	root depth min	root zone max	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
1	Corn	131920551	31.65	67	78	85	89	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0	0	1	1.7	5.57736	4.81184	4.04632	3.2808	5.57736	4.81184	4.04632
2	Cotton	24198	0.01	71	80	87	90	71	80	87	4	0.6	0.24	0.12	4	0.6	0.24	0	0	1	1.7	5.57736	4.81184	4.04632	3.2808	5.57736	4.81184	4.04632
3	Rice	32587	0.01	71	80	87	90	71	80	87	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.5	1	3.2808	2.734	2.1872	1.6404	3.2808	2.734	2.1872
4	Sorghum	1399	0	72	81	88	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	1	2	6.5616	5.468	4.3744	3.2808	6.5616	5.468	4.3744
5	Soybeans	40678351	9.76	67	78	85	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.6	1.3	4.26504	3.49952	2.734	1.96848	4.26504	3.49952	2.734
10	Peanuts	165	0	67	78	85	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.5	1	3.2808	2.734	2.1872	1.6404	3.2808	2.734	2.1872
11	Tobacco	4853	0	67	78	85	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.4	0.7	2.29656	1.96848	1.6404	1.31232	2.29656	1.96848	1.6404
12	Sweet Corn	18778	0	67	78	85	89	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.8	1.2	3.93696	3.49952	3.06208	2.62464	3.93696	3.49952	3.06208
13	Pop or Orn Corn	215793	0.05	67	78	85	89	67	78	85	4	0.6	0.24	0.12	4	0.6	0.24	0	0	1	1.7	5.57736	4.81184	4.04632	3.2808	5.57736	4.81184	4.04632
14	Mint	1815	0	67	78	85	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.3	0.5	1.6404	1.42168	1.20296	0.98424	1.6404	1.42168	1.20296
24	Winter Wheat	70240	0.02	65	76	84	88	65	76	84	4	0.6	0.24	0.12	4	0.6	0.24	0	0	1.5	1.8	5.90544	5.57736	5.24928	4.9212	5.90544	5.57736	5.24928
26	Dbl Crop WinWht/Soybeans	522228	0.13	67	78	85	91	72	81	88	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.6	1.3	4.26504	3.49952	2.734	1.96848	4.26504	3.49952	2.734
27	Rye	4224	0	65	76	84	88	65	76	84	4	0.6	0.24	0.12	4	0.6	0.24	0	0	0.6	1	3.2808	2.84336	2.40592	1.96848	3.2808	2.84336	2.40592
