lu_code	description	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception	nongrowing_season_interception	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
1	Corn	69.5000000000000000	79.5000000000000000	86.5000000000000000	90.0000000000000000	69.5000000000000000	79.5000000000000000	86.5000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.015	                0.0	1.39999999999999991	1.45999999999999996	1.24199999999999999	1.23100000000000009	1.39999999999999991	1.45999999999999996	1.24199999999999999	
4	Sorghum	67.5000000000000000	79.5000000000000000	86.5000000000000000	90.0000000000000000	67.5000000000000000	79.5000000000000000	86.5000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.034	                0.0	1.50000000000000000	1.41999999999999993	1.35000000000000009	1.29000000000000004	1.50000000000000000	1.41999999999999993	1.35000000000000009	
5	Soybeans	67.5000000000000000	79.5000000000000000	86.5000000000000000	90.0000000000000000	67.5000000000000000	79.5000000000000000	86.5000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.014	                0.0	4.00000000000000000	3.33300000000000018	3.07200000000000006	3.44600000000000017	4.00000000000000000	3.33300000000000018	3.07200000000000006	
13	PopOrn Corn	69.5000000000000000	79.5000000000000000	86.5000000000000000	90.0000000000000000	69.5000000000000000	79.5000000000000000	86.5000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.015	                0.0	1.50000000000000000	1.41999999999999993	1.35000000000000009	1.29000000000000004	1.50000000000000000	1.41999999999999993	1.35000000000000009	
23	Spring Wheat	64.0000000000000000	75.5000000000000000	83.0000000000000000	87.5000000000000000	64.0000000000000000	75.5000000000000000	83.0000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.031	                0.0	1.23999999999999999	1.29299999999999993	1.10000000000000009	1.09000000000000008	1.23999999999999999	1.29299999999999993	1.10000000000000009	
24	Winter Wheat	64.0000000000000000	75.5000000000000000	83.0000000000000000	87.5000000000000000	64.0000000000000000	75.5000000000000000	83.0000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.031	                0.0	1.23999999999999999	1.29299999999999993	1.10000000000000009	1.09000000000000008	1.23999999999999999	1.29299999999999993	1.10000000000000009	
27	Rye	64.0000000000000000	75.5000000000000000	83.0000000000000000	87.5000000000000000	64.0000000000000000	75.5000000000000000	83.0000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.027	                0.0	1.23999999999999999	1.29299999999999993	1.10000000000000009	1.09000000000000008	1.23999999999999999	1.29299999999999993	1.10000000000000009	
28	Oats	64.0000000000000000	75.5000000000000000	83.0000000000000000	87.5000000000000000	64.0000000000000000	75.5000000000000000	83.0000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	              0.007	                0.0	1.23999999999999999	1.29299999999999993	1.10000000000000009	1.09000000000000008	1.23999999999999999	1.29299999999999993	1.10000000000000009	
36	Alfalfa	62.0000000000000000	74.5000000000000000	83.0000000000000000	87.0000000000000000	62.0000000000000000	74.5000000000000000	83.0000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	7.40000000000000036	2.79999999999999982	1.80000000000000004	               0.02	                0.0	1.50000000000000000	1.41999999999999993	1.35000000000000009	1.29000000000000004	1.50000000000000000	1.41999999999999993	1.35000000000000009	
37	Other Hay/Non Alfalfa	65.0000000000000000	76.5000000000000000	84.5000000000000000	88.0000000000000000	65.0000000000000000	76.5000000000000000	84.5000000000000000	7.40000000000000036	2.79999999999999982	1.80000000000000004	0.59999999999999998	0.59999999999999998	0.59999999999999998	0.59999999999999998	               0.02	                0.0	1.50000000000000000	1.41999999999999993	1.35000000000000009	1.29000000000000004	1.50000000000000000	1.41999999999999993	1.35000000000000009	
