	lu_code	description	lu_group	note	cn_1	cn_2	cn_3	cn_4	cn_5	cn_6	cn_7	max_net_infil_1	max_net_infil_2	max_net_infil_3	max_net_infil_4	max_net_infil_5	max_net_infil_6	max_net_infil_7	growing_season_interception_a	growing_season_interception_b	growing_season_interception_n	nongrowing_season_interception_a	nongrowing_season_interception_b	nongrowing_season_interception_n	rz_1	rz_2	rz_3	rz_4	rz_5	rz_6	rz_7
0	1	Corn	corn	straight row w crop residue; avg of poor and good	55.0	75.0	80.0	88.0	55.0	75.0	80.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
1	2	Cotton	cott	straight row w crop residue; good	52.0	70.0	75.0	84.0	52.0	70.0	75.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
2	3	Rice	rice	AMC II	70.0	80.0	86.0	90.0	70.0	80.0	86.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	1.45	1.25	2.75	1.45	1.25
3	4	Sorghum	sorg	assume same as corn	55.0	75.0	80.0	88.0	55.0	75.0	80.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
4	5	Soybeans	soybn	small grains, good, SR	54.0	76.0	81.0	85.0	54.0	76.0	81.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
5	6	Sunflower	sunf	row crops, SR, avg	55.0	75.0	80.0	88.0	55.0	75.0	80.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
6	10	Peanuts	clseed	close-seeded, avg, SR	54.0	76.0	81.0	85.0	54.0	76.0	81.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
7	11	Tobacco	tobac	row crops, SR, avg	54.0	75.0	80.0	90.16	81.34	87.67	90.16	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
8	12	Sweet Corn	corn	assume same as corn	55.0	75.0	80.0	88.0	55.0	75.0	80.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
9	13	Pop or Orn Corn	corn	assume same as corn	55.0	75.0	80.0	88.0	55.0	75.0	80.0	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
10	14	Mint	clseed	close-seeded, SR, avg	54.0	75.0	80.0	87.8645	76.987	84.7937	87.8645	3.75	2	0.513	0.222	3	0.95	0.21	0.08	0	1	0.0	0	1	2.75	2.45	2.3	1.75	2.75	2.45	2.3
