lu_cdl	lu_nlcd	description	group	column	parlbnd	parubnd	parval1	units	notes	ref	drained_condition
1		Corn		mean_plant_height	5.25	8.75	7.0				
1		Corn		kcb_ini	0.11	0.19	0.15				
1		Corn		kcb_mid	0.83	1.38	1.1				
1		Corn		kcb_end	0.38	0.63	0.5				
1		Corn		kcb_min	0.08	0.13	0.1				
1		Corn		first_day_of_growing_season	90.00	150.00	120				
1		Corn		last_day_of_growing_season	209.25	348.75	279				
1		Corn		planting_date	90.00	150.00	120				
1		Corn		l_ini	22	37	30				
1		Corn		l_dev	26	43	35				
1		Corn		l_mid	37	62	50				
1		Corn		l_late	33	55	44				
1		Corn		l_fallow	0	1	1				
1		Corn		minimum_fraction_vegetative_cover	0.00	0.00	0.0				
1		Corn		depletion_fraction	0.41	0.69	0.55				
1		Corn		gdd_base	37.50	62.50	50				
1		Corn		gdd_max	97.50	162.50	130				
1		Corn		mad	0.41	0.69	0.55				
1		Corn		application_amount	0.38	0.63	0.5				
1		Corn		fraction_irrigation_from_gw	0.75	1.25	1				
1		Corn		irrigation_application_efficiency	0.75	1.25	1				
2		Cotton		mean_plant_height	3.38	5.63	4.5				
2		Cotton		kcb_ini	0.11	0.19	0.15				
2		Cotton		kcb_mid	0.83	1.38	1.1				
2		Cotton		kcb_end	0.38	0.63	0.5				
2		Cotton		kcb_min	0.08	0.13	0.1				
2		Cotton		first_day_of_growing_season	90.75	151.25	121				
2		Cotton		last_day_of_growing_season	237.00	395.00	316				
2		Cotton		planting_date	90.75	151.25	121				
2		Cotton		l_ini	22	37	30				
2		Cotton		l_dev	37	62	50				
2		Cotton		l_mid	45	75	60				
2		Cotton		l_late	41	68	55				
2		Cotton		l_fallow	0	1	1				
2		Cotton		minimum_fraction_vegetative_cover	0.00	0.00	0.0				
2		Cotton		depletion_fraction	0.49	0.81	0.65				
2		Cotton		gdd_base	45.00	75.00	60				
2		Cotton		gdd_max	97.50	162.50	130				
2		Cotton		mad	0.49	0.81	0.65				
2		Cotton		application_amount	0.00	0.00	0.0				
2		Cotton		fraction_irrigation_from_gw	0.75	1.25	1				
2		Cotton		irrigation_application_efficiency	0.75	1.25	1				
3		Rice		mean_plant_height	2.48	4.13	3.3				
3		Rice		kcb_ini	0.75	1.25	1.0				
3		Rice		kcb_mid	0.86	1.44	1.15				
3		Rice		kcb_end	0.45	0.75	0.6				
3		Rice		kcb_min	0.08	0.13	0.1				
3		Rice		first_day_of_growing_season	101.25	168.75	135				
3		Rice		last_day_of_growing_season	213.75	356.25	285				
3		Rice		planting_date	101.25	168.75	135				
3		Rice		l_ini	22	37	30				
