lu_cdl	lu_nlcd	description	group	column	parlbnd	parubnd	parval1	units	notes	ref	drained_condition
											
											
1		Corn		mean_plant_height			7.0				
1		Corn		variable_rooting_depth			varying				
1		Corn		kcb_ini			0.15				
1		Corn		kcb_mid			1.1				
1		Corn		kcb_end			0.5				
1		Corn		kcb_min			0.1				
1		Corn		first_day_of_growing_season			120				
1		Corn		last_day_of_growing_season			279				
1		Corn		planting_date			120				
1		Corn		l_ini			30				
1		Corn		l_dev			35				
1		Corn		l_mid			50				
1		Corn		l_late			44				
1		Corn		l_fallow			1				
1		Corn		irrigation_length			9999				
1		Corn		minimum_fraction_vegetative_cover			0.0				
1		Corn		rew_1			0.12				
1		Corn		rew_2			0.23				
1		Corn		rew_3			0.31				
1		Corn		rew_4			0.35				
1		Corn		rew_5			0.12				
1		Corn		rew_6			0.23				
1		Corn		rew_7			0.31				
1		Corn		tew_1			0.28				
1		Corn		tew_2			0.6				
1		Corn		tew_3			0.86				
1		Corn		tew_4			0.94				
1		Corn		tew_5			0.28				
1		Corn		tew_6			0.6				
1		Corn		tew_7			0.86				
1		Corn		depletion_fraction			0.55				
1		Corn		gdd_base			50				
1		Corn		gdd_max			130				
1		Corn		mad			0.55				
1		Corn		irrigation_start			05/04				
1		Corn		irrigation_end			10/01				
1		Corn		application_amount			0.5				
1		Corn		fraction_irrigation_from_gw			1				
1		Corn		application_scheme			field_capacity				
1		Corn		irrigation_application_efficiency			1				
2		Cotton		mean_plant_height			4.5				
2		Cotton		variable_rooting_depth			varying				
2		Cotton		kcb_ini			0.15				
2		Cotton		kcb_mid			1.1				
2		Cotton		kcb_end			0.5				
2		Cotton		kcb_min			0.1				
2		Cotton		first_day_of_growing_season			121				
2		Cotton		last_day_of_growing_season			316				
2		Cotton		planting_date			121				
2		Cotton		l_ini			30				
2		Cotton		l_dev			50				
2		Cotton		l_mid			60				
2		Cotton		l_late			55				
2		Cotton		l_fallow			1				
2		Cotton		irrigation_length			9999				
2		Cotton		minimum_fraction_vegetative_cover			0.0				
2		Cotton		rew_1			0.12				
2		Cotton		rew_2			0.23				
2		Cotton		rew_3			0.31				
2		Cotton		rew_4			0.35				
2		Cotton		rew_5			0.12				
2		Cotton		rew_6			0.23				
2		Cotton		rew_7			0.31				
2		Cotton		tew_1			0.28				
2		Cotton		tew_2			0.6				
2		Cotton		tew_3			0.86				
2		Cotton		tew_4			0.94				
2		Cotton		tew_5			0.28				
2		Cotton		tew_6			0.6				
2		Cotton		tew_7			0.86				
2		Cotton		depletion_fraction			0.65				
2		Cotton		gdd_base			60				
2		Cotton		gdd_max			130				
2		Cotton		mad			0.65				
2		Cotton		irrigation_start			04/30				
2		Cotton		irrigation_end			11/11				
2		Cotton		application_amount			0.0				
2		Cotton		fraction_irrigation_from_gw			1				
2		Cotton		application_scheme			field_capacity				
2		Cotton		irrigation_application_efficiency			1				
3		Rice		mean_plant_height			3.3				
3		Rice		variable_rooting_depth			varying				
3		Rice		kcb_ini			1.0				
3		Rice		kcb_mid			1.15				
3		Rice		kcb_end			0.6				
3		Rice		kcb_min			0.1				
3		Rice		first_day_of_growing_season			135				
3		Rice		last_day_of_growing_season			285				
