lu_cdl	lu_nlcd	description	group	column	parlbnd	parubnd	parval1	units	notes	ref	drained_condition
		Max net infiltration grp	ALL	max_net_infil	2.5	3.5	3.0	in/day			
1		Corn		cn	63	78	71	unitless			
1		Corn		growing_season_interception_a	0.06	0.1	0.08				
1		Corn		growing_season_interception_b	0	0	0				
1		Corn		growing_season_interception_n	0.75	1.25	1				
1		Corn		nongrowing_season_interception_a	0	0	0				
1		Corn		nongrowing_season_interception_b	0	0	0				
1		Corn		nongrowing_season_interception_n	0.75	1.25	1				
1		Corn		rz	1.05	1.75	1.4	ft			
2		Cotton		cn	63	78	71	unitless			
2		Cotton		growing_season_interception_a	0.045	0.075	0.06				
2		Cotton		growing_season_interception_b	0	0	0				
2		Cotton		growing_season_interception_n	0.75	1.25	1				
2		Cotton		nongrowing_season_interception_a	0	0	0				
2		Cotton		nongrowing_season_interception_b	0	0	0				
2		Cotton		nongrowing_season_interception_n	0.75	1.25	1				
2		Cotton		rz	1.125	1.875	1.5	ft			
3		Rice		cn	63	78	71	unitless			
3		Rice		growing_season_interception_a	0.06	0.1	0.08				
3		Rice		growing_season_interception_b	0	0	0				
3		Rice		growing_season_interception_n	0.75	1.25	1				
3		Rice		nongrowing_season_interception_a	0	0	0				
3		Rice		nongrowing_season_interception_b	0	0	0				
3		Rice		nongrowing_season_interception_n	0.75	1.25	1				
3		Rice		rz	1.125	1.875	1.5	ft			
4		Sorghum		cn	64	79	72	unitless			
4		Sorghum		growing_season_interception_a	0.06	0.1	0.08				
4		Sorghum		growing_season_interception_b	0	0	0				
4		Sorghum		growing_season_interception_n	0.75	1.25	1				
4		Sorghum		nongrowing_season_interception_a	0	0	0				
4		Sorghum		nongrowing_season_interception_b	0	0	0				
4		Sorghum		nongrowing_season_interception_n	0.75	1.25	1				
4		Sorghum		rz	1.125	1.875	1.5	ft			
5		Soybeans		cn	54	66	60	unitless			
5		Soybeans		growing_season_interception_a	0.06	0.1	0.08				
5		Soybeans		growing_season_interception_b	0	0	0				
5		Soybeans		growing_season_interception_n	0.75	1.25	1				
5		Soybeans		nongrowing_season_interception_a	0	0	0				
5		Soybeans		nongrowing_season_interception_b	0	0	0				
5		Soybeans		nongrowing_season_interception_n	0.75	1.25	1				
5		Soybeans		rz	2.94	4.9	3.92	ft			
6		Sunflower		cn	60	73	67	unitless			
6		Sunflower		growing_season_interception_a	0.06	0.1	0.08				
6		Sunflower		growing_season_interception_b	0	0	0				
6		Sunflower		growing_season_interception_n	0.75	1.25	1				
6		Sunflower		nongrowing_season_interception_a	0	0	0				
6		Sunflower		nongrowing_season_interception_b	0	0	0				
6		Sunflower		nongrowing_season_interception_n	0.75	1.25	1				
6		Sunflower		rz	1.125	1.875	1.5	ft			
10		Peanuts		cn	60	73	67	unitless			
10		Peanuts		growing_season_interception_a	0.06	0.1	0.08				
10		Peanuts		growing_season_interception_b	0	0	0				
10		Peanuts		growing_season_interception_n	0.75	1.25	1				
10		Peanuts		nongrowing_season_interception_a	0	0	0				
10		Peanuts		nongrowing_season_interception_b	0	0	0				
10		Peanuts		nongrowing_season_interception_n	0.75	1.25	1				
10		Peanuts		rz	1.125	1.875	1.5	ft			
11		Tobacco		cn	60	73	67	unitless			
11		Tobacco		growing_season_interception_a	0.06	0.1	0.08				
11		Tobacco		growing_season_interception_b	0	0	0				
11		Tobacco		growing_season_interception_n	0.75	1.25	1				
11		Tobacco		nongrowing_season_interception_a	0	0	0				
11		Tobacco		nongrowing_season_interception_b	0	0	0				
11		Tobacco		nongrowing_season_interception_n	0.75	1.25	1				
11		Tobacco		rz	1.125	1.875	1.5	ft			
12		Sweet Corn		cn	60	73	67	unitless			
12		Sweet Corn		growing_season_interception_a	0.06	0.1	0.08				
12		Sweet Corn		growing_season_interception_b	0	0	0				
12		Sweet Corn		growing_season_interception_n	0.75	1.25	1				
12		Sweet Corn		nongrowing_season_interception_a	0	0	0				
12		Sweet Corn		nongrowing_season_interception_b	0	0	0				
12		Sweet Corn		nongrowing_season_interception_n	0.75	1.25	1				
12		Sweet Corn		rz	1.125	1.875	1.5	ft			
13		Pop or Orn Corn		cn	60	73	67	unitless			
13		Pop or Orn Corn		growing_season_interception_a	0.06	0.1	0.08				
13		Pop or Orn Corn		growing_season_interception_b	0	0	0				
13		Pop or Orn Corn		growing_season_interception_n	0.75	1.25	1				
13		Pop or Orn Corn		nongrowing_season_interception_a	0	0	0				
13		Pop or Orn Corn		nongrowing_season_interception_b	0	0	0				
13		Pop or Orn Corn		nongrowing_season_interception_n	0.75	1.25	1				
13		Pop or Orn Corn		rz	1.125	1.875	1.5	ft			
14		Mint		cn	60	73	67	unitless			
14		Mint		growing_season_interception_a	0.06	0.1	0.08				
14		Mint		growing_season_interception_b	0	0	0				
14		Mint		growing_season_interception_n	0.75	1.25	1				
14		Mint		nongrowing_season_interception_a	0	0	0				
14		Mint		nongrowing_season_interception_b	0	0	0				
14		Mint		nongrowing_season_interception_n	0.75	1.25	1				
14		Mint		rz	1.125	1.875	1.5	ft			
21		Barley		cn	49	60	55.2	unitless			
21		Barley		growing_season_interception_a	0.06	0.1	0.08				
21		Barley		growing_season_interception_b	0	0	0				
21		Barley		growing_season_interception_n	0.75	1.25	1				
21		Barley		nongrowing_season_interception_a	0	0	0				
21		Barley		nongrowing_season_interception_b	0	0	0				
21		Barley		nongrowing_season_interception_n	0.75	1.25	1				
21		Barley		rz	0.93	1.55	1.24	ft			
22		Durham Wheat		cn	49	60	55.2	unitless			
22		Durham Wheat		growing_season_interception_a	0.06	0.1	0.08				
22		Durham Wheat		growing_season_interception_b	0	0	0				
22		Durham Wheat		growing_season_interception_n	0.75	1.25	1				
22		Durham Wheat		nongrowing_season_interception_a	0	0	0				
22		Durham Wheat		nongrowing_season_interception_b	0	0	0				
22		Durham Wheat		nongrowing_season_interception_n	0.75	1.25	1				
22		Durham Wheat		rz	0.93	1.55	1.24	ft			
23		Spring Wheat		cn	49	60	55.2	unitless			
23		Spring Wheat		growing_season_interception_a	0.06	0.1	0.08				
23		Spring Wheat		growing_season_interception_b	0	0	0				
23		Spring Wheat		growing_season_interception_n	0.75	1.25	1				
23		Spring Wheat		nongrowing_season_interception_a	0	0	0				
23		Spring Wheat		nongrowing_season_interception_b	0	0	0				
23		Spring Wheat		nongrowing_season_interception_n	0.75	1.25	1				
23		Spring Wheat		rz	0.93	1.55	1.24	ft			
24		Winter Wheat		cn	49	60	55.2	unitless			
24		Winter Wheat		growing_season_interception_a	0.06	0.1	0.08				
24		Winter Wheat		growing_season_interception_b	0	0	0				
24		Winter Wheat		growing_season_interception_n	0.75	1.25	1				
24		Winter Wheat		nongrowing_season_interception_a	0	0	0				
24		Winter Wheat		nongrowing_season_interception_b	0	0	0				
24		Winter Wheat		nongrowing_season_interception_n	0.75	1.25	1				
24		Winter Wheat		rz	0.93	1.55	1.24	ft			
25		Other Small Grains		cn	49	60	55.2	unitless			
25		Other Small Grains		growing_season_interception_a	0.06	0.1	0.08				
25		Other Small Grains		growing_season_interception_b	0	0	0				
25		Other Small Grains		growing_season_interception_n	0.75	1.25	1				
25		Other Small Grains		nongrowing_season_interception_a	0	0	0				
25		Other Small Grains		nongrowing_season_interception_b	0	0	0				
25		Other Small Grains		nongrowing_season_interception_n	0.75	1.25	1				
25		Other Small Grains		rz	0.93	1.55	1.24	ft			
26		Dbl Crop WinWht/Soybeans		cn	49	60	55.2	unitless			
26		Dbl Crop WinWht/Soybeans		growing_season_interception_a	0.06	0.1	0.08				
26		Dbl Crop WinWht/Soybeans		growing_season_interception_b	0	0	0				
26		Dbl Crop WinWht/Soybeans		growing_season_interception_n	0.75	1.25	1				
26		Dbl Crop WinWht/Soybeans		nongrowing_season_interception_a	0	0	0				
26		Dbl Crop WinWht/Soybeans		nongrowing_season_interception_b	0	0	0				
26		Dbl Crop WinWht/Soybeans		nongrowing_season_interception_n	0.75	1.25	1				
26		Dbl Crop WinWht/Soybeans		rz	0.93	1.55	1.24	ft			
27		Rye		cn	49	60	55.2	unitless			
27		Rye		growing_season_interception_a	0.06	0.1	0.08				
27		Rye		growing_season_interception_b	0	0	0				
27		Rye		growing_season_interception_n	0.75	1.25	1				
27		Rye		nongrowing_season_interception_a	0	0	0				
27		Rye		nongrowing_season_interception_b	0	0	0				
27		Rye		nongrowing_season_interception_n	0.75	1.25	1				
27		Rye		rz	0.93	1.55	1.24	ft			
28		Oats		cn	49	60	55.2	unitless			
28		Oats		growing_season_interception_a	0.06	0.1	0.08				
28		Oats		growing_season_interception_b	0	0	0				
28		Oats		growing_season_interception_n	0.75	1.25	1				
28		Oats		nongrowing_season_interception_a	0	0	0				
28		Oats		nongrowing_season_interception_b	0	0	0				
28		Oats		nongrowing_season_interception_n	0.75	1.25	1				
