lu_code_2	description_2	mean_plant_height	variable_rooting_depth	kcb_ini	kcb_mid	kcb_end	kcb_min	first_day_of_growing_season	last_day_of_growing_season	planting_date	l_ini	l_dev	l_mid	l_late	l_fallow	irrigation_length	minimum_fraction_vegetative_cover	rew_1	rew_2	rew_3	rew_4	rew_5	rew_6	rew_7	tew_1	tew_2	tew_3	tew_4	tew_5	tew_6	tew_7	depletion_fraction	gdd_base	gdd_max	mad	irrigation_start	irrigation_end	application_amount	fraction_irrigation_from_gw	application_scheme	irrigation_application_efficiency
1	Corn	7.0	varying	0.15	1.1	0.5	0.1	120	279	120	30	35	50	44	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
2	Cotton	4.5	varying	0.15	1.1	0.5	0.1	121	316	121	30	50	60	55	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.65	60	130	0.65	04/30	11/11	0.0	1	field_capacity	1
3	Rice	3.3	varying	1.0	1.15	0.6	0.1	135	285	135	30	30	60	30	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.2	50	130	0.2	05/14	10/11	0.0	1	field_capacity	1
4	Sorghum	5.0	varying	0.15	1.0	0.35	0.1	130	255	130	20	35	40	30	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/09	09/11	0.0	1	field_capacity	1
5	Soybeans	2.5	varying	0.15	1.0	0.3	0.1	149	299	149	20	30	72	28	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/09	10/06	0.5	1	field_capacity	1
6	Sunflower	7.0	varying	0.15	1.15	0.5	0.1	130	280	130	30	35	40	45	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
10	Peanuts	2.0	varying	0.15	1.1	0.5	0.1	135	275	135	35	35	35	35	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/14	10/01	0.5	1	field_capacity	1
11	Tobacco	4.5	varying	0.5	1.1	0.8	0.1	152	262	152	20	30	30	30	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.4	50	130	0.4	05/31	09/18	0.5	1	field_capacity	1
12	Sweet Corn	7.0	varying	0.15	1.15	0.5	0.1	125	275	125	30	35	40	45	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.5	50	130	0.5	05/04	10/01	0.5	1	field_capacity	1
13	Pop or Orn Corn	7.0	varying	0.15	1.15	0.5	0.1	125	275	125	30	35	40	45	1	9999	0.00	0.12	0.23	0.31	0.35	0.12	0.23	0.31	0.28	0.6	0.86	0.94	0.28	0.6	0.86	0.55	50	130	0.55	05/04	10/01	0.5	1	field_capacity	1
